SECCION,DIVISION,GRUPO,CLASE,SECCION_DESC,DIVISION_DESC,GRUPO_DESC,CLASE_DESC,GRUPO,CODIGO_GEO,PROVINCIA,MUNICIPIO,PROVINCIA_DESC,MUNICIPIO_DESC,EMPRESAS
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cultivos en general; cultivo de productos de mercado; horticultura","Cultivo de cereales y otros cultivos n.c.p.","010 a 049",20091301000000000,13,1301,"LA VEGA","LA VEGA",1
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cultivos en general; cultivo de productos de mercado; horticultura","Cultivo de cereales y otros cultivos n.c.p.","010 a 049",20091301000000000,13,1301,"LA VEGA","LA VEGA",1
A,A01,A01011,A010110112,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cultivos en general; cultivo de productos de mercado; horticultura","Cultivo de hortalizas y legumbres, especialidades hortícolas y productos de vivero","050 a 099",20091301000000000,13,1301,"LA VEGA","LA VEGA",1
A,A01,A01011,A010110112,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cultivos en general; cultivo de productos de mercado; horticultura","Cultivo de hortalizas y legumbres, especialidades hortícolas y productos de vivero","250 o más",20091301000000000,13,1301,"LA VEGA","LA VEGA",1
A,A01,A01011,A010110112,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cultivos en general; cultivo de productos de mercado; horticultura","Cultivo de hortalizas y legumbres, especialidades hortícolas y productos de vivero","010 a 049",20091301000000000,13,1301,"LA VEGA","LA VEGA",1
A,A01,A01011,A010110112,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cultivos en general; cultivo de productos de mercado; horticultura","Cultivo de hortalizas y legumbres, especialidades hortícolas y productos de vivero","001 a 009",20091301000000000,13,1301,"LA VEGA","LA VEGA",1
A,A01,A01012,A010120121,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cría de animales","Cría de ganado vacuno y de ovejas, cabras, caballos, asnos, mulas y burdéganos; cría de ganado lechero","001 a 009",20091301000000000,13,1301,"LA VEGA","LA VEGA",1
A,A01,A01012,A010120121,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cría de animales","Cría de ganado vacuno y de ovejas, cabras, caballos, asnos, mulas y burdéganos; cría de ganado lechero","010 a 049",20091301000000000,13,1301,"LA VEGA","LA VEGA",1
A,A01,A01012,A010120122,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cría de animales","Cría de otros animales; elaboración de productos animales n.c.p.","050 a 099",20091301000000000,13,1301,"LA VEGA","LA VEGA",1
A,A01,A01012,A010120122,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cría de animales","Cría de otros animales; elaboración de productos animales n.c.p.","001 a 009",20091301000000000,13,1301,"LA VEGA","LA VEGA",1
